in epoch 0, loss = 2.30322265625, loss_1: 0.7249848246574402, loss_2: 0.7953076362609863
in epoch 37, loss = 0.8116481304168701, loss_1: 0.06681627035140991, loss_2: 0.3690960109233856
in epoch 38, loss = 0.8098260164260864, loss_1: 0.06727530807256699, loss_2: 0.36772650480270386
in epoch 39, loss = 0.8057270050048828, loss_1: 0.06596241891384125, loss_2: 0.36602944135665894
in epoch 40, loss = 0.8013460636138916, loss_1: 0.06471316516399384, loss_2: 0.364091157913208
in epoch 41, loss = 0.7974642515182495, loss_1: 0.06413024663925171, loss_2: 0.36185213923454285
in epoch 42, loss = 0.7941405773162842, loss_1: 0.06423243135213852, loss_2: 0.3596753478050232
in epoch 43, loss = 0.7900241613388062, loss_1: 0.06344479322433472, loss_2: 0.35707974433898926
in epoch 44, loss = 0.784609854221344, loss_1: 0.06266944110393524, loss_2: 0.35378730297088623
in epoch 45, loss = 0.7763715386390686, loss_1: 0.06216862052679062, loss_2: 0.3475392758846283
in epoch 46, loss = 0.7623739242553711, loss_1: 0.06143087148666382, loss_2: 0.3361632823944092
in epoch 47, loss = 0.742804229259491, loss_1: 0.06078042834997177, loss_2: 0.31976932287216187
in epoch 48, loss = 0.71051424741745, loss_1: 0.060690879821777344, loss_2: 0.29524821043014526
in epoch 49, loss = 0.6787656545639038, loss_1: 0.06328563392162323, loss_2: 0.2789269983768463
in epoch 50, loss = 0.7218616008758545, loss_1: 0.07153453677892685, loss_2: 0.30939409136772156
in epoch 51, loss = 0.8638702630996704, loss_1: 0.16234338283538818, loss_2: 0.3034725487232208
in epoch 52, loss = 0.6917452812194824, loss_1: 0.06769188493490219, loss_2: 0.2749553322792053
in epoch 53, loss = 0.7134805917739868, loss_1: 0.11058847606182098, loss_2: 0.2791929841041565
in epoch 54, loss = 0.6517822742462158, loss_1: 0.06882821023464203, loss_2: 0.265737384557724
in epoch 55, loss = 0.663500189781189, loss_1: 0.08297568559646606, loss_2: 0.2710742652416229
in epoch 56, loss = 0.6386587619781494, loss_1: 0.08197443187236786, loss_2: 0.24694833159446716
in epoch 57, loss = 0.6169276237487793, loss_1: 0.06829269975423813, loss_2: 0.254932165145874
in epoch 58, loss = 0.6016936302185059, loss_1: 0.0763811320066452, loss_2: 0.23726198077201843
in epoch 59, loss = 0.5950159430503845, loss_1: 0.06962031126022339, loss_2: 0.23902110755443573
in epoch 60, loss = 0.5836327075958252, loss_1: 0.06417463719844818, loss_2: 0.23451998829841614
in epoch 61, loss = 0.5753986239433289, loss_1: 0.0640358179807663, loss_2: 0.2331523597240448
in epoch 62, loss = 0.5671383142471313, loss_1: 0.060849547386169434, loss_2: 0.2249603271484375
in epoch 63, loss = 0.5573612451553345, loss_1: 0.05773963779211044, loss_2: 0.22085782885551453
in epoch 64, loss = 0.558944821357727, loss_1: 0.057869236916303635, loss_2: 0.218438982963562
in epoch 65, loss = 0.5462599992752075, loss_1: 0.0554162859916687, loss_2: 0.2163371741771698
in epoch 66, loss = 0.536476194858551, loss_1: 0.053754907101392746, loss_2: 0.21190230548381805
in epoch 67, loss = 0.538582444190979, loss_1: 0.05326930806040764, loss_2: 0.2139412760734558
in epoch 68, loss = 0.5312248468399048, loss_1: 0.0543377622961998, loss_2: 0.20955699682235718
in epoch 69, loss = 0.5224759578704834, loss_1: 0.05301646515727043, loss_2: 0.20533156394958496
in epoch 70, loss = 0.5179582834243774, loss_1: 0.052519284188747406, loss_2: 0.2053774893283844
in epoch 71, loss = 0.5162862539291382, loss_1: 0.05138544365763664, loss_2: 0.2045643925666809
in epoch 72, loss = 0.5155651569366455, loss_1: 0.05081323906779289, loss_2: 0.20307564735412598
in epoch 73, loss = 0.5133422613143921, loss_1: 0.0522555336356163, loss_2: 0.20705989003181458
in epoch 74, loss = 0.5121817588806152, loss_1: 0.051358722150325775, loss_2: 0.20667794346809387
in epoch 75, loss = 0.5093652009963989, loss_1: 0.04969567060470581, loss_2: 0.20531943440437317
in epoch 76, loss = 0.49657633900642395, loss_1: 0.04937291145324707, loss_2: 0.192866712808609
in epoch 77, loss = 0.4938560426235199, loss_1: 0.04882679507136345, loss_2: 0.1976192444562912
in epoch 78, loss = 0.5090724229812622, loss_1: 0.05074286460876465, loss_2: 0.2005477249622345
in epoch 79, loss = 0.490529328584671, loss_1: 0.04886927455663681, loss_2: 0.19328604638576508
in epoch 80, loss = 0.4817165732383728, loss_1: 0.04855438321828842, loss_2: 0.18862825632095337
in epoch 81, loss = 0.4821176826953888, loss_1: 0.04812809079885483, loss_2: 0.19001322984695435
in epoch 82, loss = 0.4823896884918213, loss_1: 0.04769166558980942, loss_2: 0.19483861327171326
in epoch 83, loss = 0.478567898273468, loss_1: 0.0481145977973938, loss_2: 0.19194993376731873
in epoch 84, loss = 0.4691218137741089, loss_1: 0.047077976167201996, loss_2: 0.18374252319335938
in epoch 85, loss = 0.46707236766815186, loss_1: 0.0473850779235363, loss_2: 0.18423298001289368
in epoch 86, loss = 0.4640948176383972, loss_1: 0.04651544615626335, loss_2: 0.18177255988121033
in epoch 87, loss = 0.4674595892429352, loss_1: 0.0461680106818676, loss_2: 0.18003402650356293
in epoch 88, loss = 0.4751664400100708, loss_1: 0.04635332152247429, loss_2: 0.18424366414546967
in epoch 89, loss = 0.47454261779785156, loss_1: 0.0468314103782177, loss_2: 0.19486002624034882
in epoch 90, loss = 0.48354244232177734, loss_1: 0.045985519886016846, loss_2: 0.20446527004241943
in epoch 91, loss = 0.46146446466445923, loss_1: 0.045172374695539474, loss_2: 0.18121692538261414
in epoch 92, loss = 0.4791884124279022, loss_1: 0.04660218954086304, loss_2: 0.20301580429077148
in epoch 93, loss = 0.49492496252059937, loss_1: 0.04679695889353752, loss_2: 0.18964305520057678
in epoch 94, loss = 0.45129522681236267, loss_1: 0.046239934861660004, loss_2: 0.17787234485149384
in epoch 95, loss = 0.5020687580108643, loss_1: 0.045668601989746094, loss_2: 0.19965049624443054
in epoch 96, loss = 0.4807620644569397, loss_1: 0.050912898033857346, loss_2: 0.19481059908866882
in epoch 97, loss = 0.4730049967765808, loss_1: 0.046799302101135254, loss_2: 0.18927544355392456
in epoch 98, loss = 0.4776347875595093, loss_1: 0.04855670779943466, loss_2: 0.19259926676750183
in epoch 99, loss = 0.46153199672698975, loss_1: 0.047146499156951904, loss_2: 0.18393240869045258
in epoch 100, loss = 0.4648047983646393, loss_1: 0.044441401958465576, loss_2: 0.1895567774772644
in epoch 101, loss = 0.44851523637771606, loss_1: 0.045346617698669434, loss_2: 0.1763879656791687
in epoch 102, loss = 0.45823270082473755, loss_1: 0.04480767250061035, loss_2: 0.18511979281902313
in epoch 103, loss = 0.4427400827407837, loss_1: 0.04350658506155014, loss_2: 0.17187386751174927
in epoch 104, loss = 0.4494851529598236, loss_1: 0.044503651559352875, loss_2: 0.179427832365036
in epoch 105, loss = 0.4401109218597412, loss_1: 0.04270651191473007, loss_2: 0.167972594499588
in epoch 106, loss = 0.4327816367149353, loss_1: 0.043545544147491455, loss_2: 0.17020228505134583
in epoch 107, loss = 0.4429818391799927, loss_1: 0.04280390590429306, loss_2: 0.1690903753042221
in epoch 108, loss = 0.4226943850517273, loss_1: 0.04203653335571289, loss_2: 0.16360971331596375
in epoch 109, loss = 0.4324915111064911, loss_1: 0.04379473254084587, loss_2: 0.16565704345703125
in epoch 110, loss = 0.4269682765007019, loss_1: 0.04155854508280754, loss_2: 0.16507947444915771
in epoch 111, loss = 0.4209854304790497, loss_1: 0.04291184991598129, loss_2: 0.16459637880325317
in epoch 112, loss = 0.4233226478099823, loss_1: 0.041578732430934906, loss_2: 0.1624184250831604
in epoch 113, loss = 0.42044201493263245, loss_1: 0.04062080383300781, loss_2: 0.16588488221168518
in epoch 114, loss = 0.4158991277217865, loss_1: 0.0406009778380394, loss_2: 0.16238640248775482
in epoch 115, loss = 0.4121010899543762, loss_1: 0.04024618864059448, loss_2: 0.15931984782218933
in epoch 116, loss = 0.4104941785335541, loss_1: 0.04027827829122543, loss_2: 0.16120056807994843
in epoch 117, loss = 0.4079820513725281, loss_1: 0.039731185883283615, loss_2: 0.15953654050827026
in epoch 118, loss = 0.40398019552230835, loss_1: 0.039819180965423584, loss_2: 0.15752378106117249
in epoch 119, loss = 0.4057570695877075, loss_1: 0.03941093012690544, loss_2: 0.159394770860672
in epoch 120, loss = 0.4033083915710449, loss_1: 0.038908105343580246, loss_2: 0.158421128988266
in epoch 121, loss = 0.39811915159225464, loss_1: 0.03880147263407707, loss_2: 0.1547721028327942
in epoch 122, loss = 0.3966861367225647, loss_1: 0.03844982385635376, loss_2: 0.1546829789876938
in epoch 123, loss = 0.39718401432037354, loss_1: 0.03805087134242058, loss_2: 0.15620705485343933
in epoch 124, loss = 0.39282098412513733, loss_1: 0.03790052980184555, loss_2: 0.15302161872386932
in epoch 125, loss = 0.3900712728500366, loss_1: 0.037619173526763916, loss_2: 0.1517869085073471
in epoch 126, loss = 0.3920045495033264, loss_1: 0.037639301270246506, loss_2: 0.15215614438056946
in epoch 127, loss = 0.3928872346878052, loss_1: 0.03772544860839844, loss_2: 0.15134237706661224
in epoch 128, loss = 0.3962934613227844, loss_1: 0.037115078419446945, loss_2: 0.15050753951072693
in epoch 129, loss = 0.390277624130249, loss_1: 0.037046194076538086, loss_2: 0.14922837913036346
in epoch 130, loss = 0.3878363370895386, loss_1: 0.03677962347865105, loss_2: 0.15053348243236542
in epoch 131, loss = 0.3931330740451813, loss_1: 0.03692915290594101, loss_2: 0.1584559977054596
in epoch 132, loss = 0.39845001697540283, loss_1: 0.03652787208557129, loss_2: 0.16352884471416473
in epoch 133, loss = 0.38645997643470764, loss_1: 0.036098480224609375, loss_2: 0.15122562646865845
in epoch 134, loss = 0.3857397437095642, loss_1: 0.036418020725250244, loss_2: 0.14995774626731873
in epoch 135, loss = 0.3888639509677887, loss_1: 0.035715263336896896, loss_2: 0.15343128144741058
in epoch 136, loss = 0.38931721448898315, loss_1: 0.03599029779434204, loss_2: 0.1564536988735199
in epoch 137, loss = 0.3926733732223511, loss_1: 0.036109767854213715, loss_2: 0.15789370238780975
in epoch 138, loss = 0.3883798122406006, loss_1: 0.03586409613490105, loss_2: 0.15104368329048157
in epoch 139, loss = 0.3754497468471527, loss_1: 0.03528940677642822, loss_2: 0.14513933658599854
in epoch 140, loss = 0.3829666078090668, loss_1: 0.036040108650922775, loss_2: 0.14799386262893677
in epoch 141, loss = 0.38366633653640747, loss_1: 0.03495675325393677, loss_2: 0.149287149310112
in epoch 142, loss = 0.3762299418449402, loss_1: 0.034630656242370605, loss_2: 0.1464192122220993
in epoch 143, loss = 0.388741135597229, loss_1: 0.03525429964065552, loss_2: 0.15108343958854675
in epoch 144, loss = 0.3850961923599243, loss_1: 0.035926125943660736, loss_2: 0.15127120912075043
in epoch 145, loss = 0.3777494430541992, loss_1: 0.034267961978912354, loss_2: 0.14859601855278015
in epoch 146, loss = 0.3879922032356262, loss_1: 0.03660418838262558, loss_2: 0.15317308902740479
in epoch 147, loss = 0.3766854703426361, loss_1: 0.03383207321166992, loss_2: 0.14776507019996643
in epoch 148, loss = 0.379481703042984, loss_1: 0.03401949256658554, loss_2: 0.14950017631053925
in epoch 149, loss = 0.3745068907737732, loss_1: 0.03348877280950546, loss_2: 0.14366021752357483
in epoch 150, loss = 0.37234610319137573, loss_1: 0.03392340987920761, loss_2: 0.14373718202114105
in epoch 151, loss = 0.3885120749473572, loss_1: 0.03354921191930771, loss_2: 0.1553291529417038
in epoch 152, loss = 0.4005453288555145, loss_1: 0.0333019495010376, loss_2: 0.16502225399017334
in epoch 153, loss = 0.41373294591903687, loss_1: 0.03304920718073845, loss_2: 0.16303947567939758
in epoch 154, loss = 0.37491387128829956, loss_1: 0.03372516483068466, loss_2: 0.14722010493278503
in epoch 155, loss = 0.3940688669681549, loss_1: 0.03306722640991211, loss_2: 0.15541866421699524
in epoch 156, loss = 0.41402342915534973, loss_1: 0.03446177765727043, loss_2: 0.16180437803268433
in epoch 157, loss = 0.3809342384338379, loss_1: 0.03348449990153313, loss_2: 0.15079627931118011
in epoch 158, loss = 0.41772228479385376, loss_1: 0.03408859297633171, loss_2: 0.16636048257350922
in epoch 159, loss = 0.4058680534362793, loss_1: 0.034513115882873535, loss_2: 0.16423720121383667
in epoch 160, loss = 0.3913193345069885, loss_1: 0.033130668103694916, loss_2: 0.15782761573791504
in epoch 161, loss = 0.4192989766597748, loss_1: 0.03532761335372925, loss_2: 0.17403638362884521
in epoch 162, loss = 0.3797888159751892, loss_1: 0.03322277590632439, loss_2: 0.1483212113380432
in epoch 163, loss = 0.4009828269481659, loss_1: 0.035239897668361664, loss_2: 0.1659242957830429
in epoch 164, loss = 0.3788692355155945, loss_1: 0.03424715995788574, loss_2: 0.14893850684165955
in epoch 165, loss = 0.3841404914855957, loss_1: 0.03521698713302612, loss_2: 0.15377794206142426
in epoch 166, loss = 0.3787184953689575, loss_1: 0.0344938263297081, loss_2: 0.14822392165660858
in epoch 167, loss = 0.38044729828834534, loss_1: 0.034175120294094086, loss_2: 0.15005557239055634
in epoch 168, loss = 0.3731922507286072, loss_1: 0.03304457664489746, loss_2: 0.14573709666728973
in epoch 169, loss = 0.3742184042930603, loss_1: 0.033244114369153976, loss_2: 0.14319771528244019
in epoch 170, loss = 0.37104636430740356, loss_1: 0.03272557258605957, loss_2: 0.14342957735061646
in epoch 171, loss = 0.3692026138305664, loss_1: 0.03323904797434807, loss_2: 0.14152668416500092
in epoch 172, loss = 0.36975452303886414, loss_1: 0.0323498472571373, loss_2: 0.14373773336410522
in epoch 173, loss = 0.3652445077896118, loss_1: 0.032650213688611984, loss_2: 0.1409567892551422
in epoch 174, loss = 0.36586710810661316, loss_1: 0.03245890140533447, loss_2: 0.14095835387706757
in epoch 175, loss = 0.36257514357566833, loss_1: 0.03220641613006592, loss_2: 0.13903099298477173
in epoch 176, loss = 0.3627305030822754, loss_1: 0.03182981535792351, loss_2: 0.13872212171554565
in epoch 177, loss = 0.36098557710647583, loss_1: 0.031584084033966064, loss_2: 0.1386648714542389
in epoch 178, loss = 0.359244704246521, loss_1: 0.03156912326812744, loss_2: 0.13733212649822235
in epoch 179, loss = 0.3594256639480591, loss_1: 0.031392037868499756, loss_2: 0.13743841648101807
in epoch 180, loss = 0.3571487069129944, loss_1: 0.03139837831258774, loss_2: 0.13617101311683655
in epoch 181, loss = 0.3567109704017639, loss_1: 0.031086444854736328, loss_2: 0.13568627834320068
in epoch 182, loss = 0.3559819757938385, loss_1: 0.03116464614868164, loss_2: 0.13538223505020142
in epoch 183, loss = 0.354663610458374, loss_1: 0.031056564301252365, loss_2: 0.13440364599227905
in epoch 184, loss = 0.3545491695404053, loss_1: 0.031110724434256554, loss_2: 0.13463425636291504
in epoch 185, loss = 0.3549676537513733, loss_1: 0.03099358081817627, loss_2: 0.13486897945404053
in epoch 186, loss = 0.35602134466171265, loss_1: 0.031025132164359093, loss_2: 0.13641443848609924
in epoch 187, loss = 0.35454514622688293, loss_1: 0.030855834484100342, loss_2: 0.1354263722896576
in epoch 188, loss = 0.3514920473098755, loss_1: 0.03068389557301998, loss_2: 0.13253766298294067
in epoch 189, loss = 0.3514067530632019, loss_1: 0.03058238886296749, loss_2: 0.13280624151229858
in epoch 190, loss = 0.3547762334346771, loss_1: 0.03045940399169922, loss_2: 0.13644491136074066
in epoch 191, loss = 0.35685473680496216, loss_1: 0.030337613075971603, loss_2: 0.13830696046352386
in epoch 192, loss = 0.35356011986732483, loss_1: 0.030310314148664474, loss_2: 0.13542109727859497
in epoch 193, loss = 0.3502877950668335, loss_1: 0.030295968055725098, loss_2: 0.13254354894161224
in epoch 194, loss = 0.35285550355911255, loss_1: 0.030287664383649826, loss_2: 0.13529953360557556
in epoch 195, loss = 0.35180267691612244, loss_1: 0.030252795666456223, loss_2: 0.13377808034420013
in epoch 196, loss = 0.3487972021102905, loss_1: 0.030331116169691086, loss_2: 0.13070765137672424
in epoch 197, loss = 0.3479207754135132, loss_1: 0.030164003372192383, loss_2: 0.1302955448627472
in epoch 198, loss = 0.34916040301322937, loss_1: 0.03011687658727169, loss_2: 0.1315336525440216
in epoch 199, loss = 0.3515860438346863, loss_1: 0.030178368091583252, loss_2: 0.13382995128631592
in epoch 200, loss = 0.3553135395050049, loss_1: 0.029961805790662766, loss_2: 0.13809852302074432
in epoch 201, loss = 0.3490995168685913, loss_1: 0.029944539070129395, loss_2: 0.13179008662700653
in epoch 202, loss = 0.34736475348472595, loss_1: 0.029925605282187462, loss_2: 0.13010546565055847
in epoch 203, loss = 0.3501814901828766, loss_1: 0.030389606952667236, loss_2: 0.1320069283246994
in epoch 204, loss = 0.3535795211791992, loss_1: 0.029874881729483604, loss_2: 0.13576459884643555
in epoch 205, loss = 0.35468754172325134, loss_1: 0.02969680353999138, loss_2: 0.1382528394460678
in epoch 206, loss = 0.3495554029941559, loss_1: 0.029852688312530518, loss_2: 0.1326589286327362
in epoch 207, loss = 0.3525722622871399, loss_1: 0.03020864725112915, loss_2: 0.13228151202201843
in epoch 208, loss = 0.3569537401199341, loss_1: 0.0299147367477417, loss_2: 0.13428789377212524
in epoch 209, loss = 0.3482099771499634, loss_1: 0.02992415428161621, loss_2: 0.1310228407382965
in epoch 210, loss = 0.344419926404953, loss_1: 0.029619812965393066, loss_2: 0.12802478671073914
in epoch 211, loss = 0.350578248500824, loss_1: 0.02966727875173092, loss_2: 0.13191962242126465
in epoch 212, loss = 0.3472200632095337, loss_1: 0.029573839157819748, loss_2: 0.1294238269329071
in epoch 213, loss = 0.3429093360900879, loss_1: 0.02962448261678219, loss_2: 0.12717697024345398
in epoch 214, loss = 0.3444594144821167, loss_1: 0.02969859167933464, loss_2: 0.12872014939785004
in epoch 215, loss = 0.34947025775909424, loss_1: 0.02936077117919922, loss_2: 0.13324397802352905
in epoch 216, loss = 0.3481242060661316, loss_1: 0.02947831153869629, loss_2: 0.13275837898254395
in epoch 217, loss = 0.3451768755912781, loss_1: 0.02946551702916622, loss_2: 0.12914568185806274
in epoch 218, loss = 0.34930670261383057, loss_1: 0.02926812693476677, loss_2: 0.13091784715652466
in epoch 219, loss = 0.3505687117576599, loss_1: 0.029633402824401855, loss_2: 0.13254563510417938
in epoch 220, loss = 0.3418213725090027, loss_1: 0.029440145939588547, loss_2: 0.1268155425786972
in epoch 221, loss = 0.34531575441360474, loss_1: 0.029584785923361778, loss_2: 0.1279665231704712
in epoch 222, loss = 0.3516882061958313, loss_1: 0.029363295063376427, loss_2: 0.12835919857025146
in epoch 223, loss = 0.34421291947364807, loss_1: 0.029265185818076134, loss_2: 0.12506155669689178
in epoch 224, loss = 0.344413161277771, loss_1: 0.02956179901957512, loss_2: 0.12802015244960785
in epoch 225, loss = 0.34720101952552795, loss_1: 0.029377004131674767, loss_2: 0.1304401010274887
in epoch 226, loss = 0.3412030339241028, loss_1: 0.02916310355067253, loss_2: 0.12606191635131836
in epoch 227, loss = 0.34156256914138794, loss_1: 0.029356103390455246, loss_2: 0.12439094483852386
in epoch 228, loss = 0.34687626361846924, loss_1: 0.029267173260450363, loss_2: 0.1270238161087036
in epoch 229, loss = 0.34244275093078613, loss_1: 0.02924249693751335, loss_2: 0.126024067401886
in epoch 230, loss = 0.34108108282089233, loss_1: 0.029020309448242188, loss_2: 0.1265188753604889
in epoch 231, loss = 0.3428035378456116, loss_1: 0.02898508310317993, loss_2: 0.12886832654476166
in epoch 232, loss = 0.34208568930625916, loss_1: 0.029052218422293663, loss_2: 0.1261637657880783
in epoch 233, loss = 0.33981403708457947, loss_1: 0.028783779591321945, loss_2: 0.12266236543655396
in epoch 234, loss = 0.3393569886684418, loss_1: 0.02873307466506958, loss_2: 0.12288471311330795
in epoch 235, loss = 0.3361318111419678, loss_1: 0.02865169569849968, loss_2: 0.12264394760131836
in epoch 236, loss = 0.33567219972610474, loss_1: 0.028675219044089317, loss_2: 0.12198134511709213
in epoch 237, loss = 0.33877480030059814, loss_1: 0.0285150408744812, loss_2: 0.12325843423604965
in epoch 238, loss = 0.3425772190093994, loss_1: 0.028505247086286545, loss_2: 0.12394329160451889
in epoch 239, loss = 0.35695070028305054, loss_1: 0.029015403240919113, loss_2: 0.13300099968910217
in epoch 240, loss = 0.3531002700328827, loss_1: 0.028620600700378418, loss_2: 0.13494496047496796
in epoch 241, loss = 0.34068575501441956, loss_1: 0.028898417949676514, loss_2: 0.12629100680351257
in epoch 242, loss = 0.3426899313926697, loss_1: 0.028656721115112305, loss_2: 0.12685728073120117
in epoch 243, loss = 0.34567591547966003, loss_1: 0.028727035969495773, loss_2: 0.12971389293670654
in epoch 244, loss = 0.3418380618095398, loss_1: 0.02905251644551754, loss_2: 0.12436209619045258
in epoch 245, loss = 0.33768248558044434, loss_1: 0.02846185490489006, loss_2: 0.1220640167593956
in epoch 246, loss = 0.33604955673217773, loss_1: 0.02897399663925171, loss_2: 0.12319555133581161
in epoch 247, loss = 0.33603423833847046, loss_1: 0.028426846489310265, loss_2: 0.12167727947235107
in epoch 248, loss = 0.3367074728012085, loss_1: 0.028430622071027756, loss_2: 0.12139630317687988
in epoch 249, loss = 0.3359888792037964, loss_1: 0.02861110493540764, loss_2: 0.12152819335460663
in epoch 250, loss = 0.33501946926116943, loss_1: 0.028463046997785568, loss_2: 0.12151114642620087
in epoch 251, loss = 0.3369191884994507, loss_1: 0.02852056547999382, loss_2: 0.12186567485332489
in epoch 252, loss = 0.3399622142314911, loss_1: 0.028305253013968468, loss_2: 0.12370713800191879
in epoch 253, loss = 0.34371042251586914, loss_1: 0.02854720875620842, loss_2: 0.12608757615089417
in epoch 254, loss = 0.35349273681640625, loss_1: 0.029842814430594444, loss_2: 0.13168823719024658
in epoch 255, loss = 0.3402103781700134, loss_1: 0.028798937797546387, loss_2: 0.12403266131877899
in epoch 256, loss = 0.3446866273880005, loss_1: 0.028397899121046066, loss_2: 0.1274224817752838
in epoch 257, loss = 0.3544284701347351, loss_1: 0.028104543685913086, loss_2: 0.13309064507484436
in epoch 258, loss = 0.3368266224861145, loss_1: 0.028342386707663536, loss_2: 0.12391053140163422
in epoch 259, loss = 0.3618953824043274, loss_1: 0.028423985466361046, loss_2: 0.13842067122459412
in epoch 260, loss = 0.3656459450721741, loss_1: 0.02835458517074585, loss_2: 0.1367369145154953
in epoch 261, loss = 0.34160754084587097, loss_1: 0.02877432107925415, loss_2: 0.12531647086143494
in epoch 262, loss = 0.37587404251098633, loss_1: 0.028621237725019455, loss_2: 0.14186780154705048
in epoch 263, loss = 0.34868907928466797, loss_1: 0.029120683670043945, loss_2: 0.12802819907665253
